businessLIVE,
businessTECH,
DailyMaverick,
eNCA,
GroundUp,
IOLNews,
MyBroadband,
News24,
SowetanLIVE,
TheCitizen,
TheMail&Guardian,
TheSouthAfrican,
TimesLive
